numero_concurso,melhor_acerto,media_acertos,jogos_11_mais,jogos_12_mais,jogos_13_mais
3531,11,8.8,2,0,0
3532,11,8.9,1,0,0
3533,10,8.8,0,0,0
3534,11,8.9,1,0,0
3535,11,9.1,1,0,0
3536,11,8.8,1,0,0
3537,11,8.6,1,0,0
3538,10,9.1,0,0,0
3539,10,9.3,0,0,0
3540,10,9.1,0,0,0
3541,12,9.1,1,1,0
3542,11,9.4,3,0,0
3543,11,9,1,0,0
3544,11,8.8,2,0,0
3545,11,9.1,1,0,0
3546,10,8.8,0,0,0
3547,11,9.1,1,0,0
3548,10,8.5,0,0,0
3549,10,8.6,0,0,0
3550,11,9.3,3,0,0
3551,11,8.8,1,0,0
3552,11,9,2,0,0
3553,12,9,2,1,0
3554,10,9.3,0,0,0
3555,11,9,1,0,0
3556,11,9.4,2,0,0
3557,11,8.3,1,0,0
3558,11,9.4,2,0,0
3559,11,8.6,1,0,0
3560,11,9.3,1,0,0
3561,10,9.3,0,0,0
3562,11,9.1,2,0,0
3563,11,9,1,0,0
3564,10,8.5,0,0,0
3565,11,9.1,1,0,0
3566,11,9.2,1,0,0
3567,11,8.7,2,0,0
3568,11,8.7,1,0,0
3569,12,9,1,1,0
3570,11,9.2,2,0,0
3571,10,8.6,0,0,0
3572,12,9.4,3,1,0
3573,12,8.8,1,1,0
3574,12,9,1,1,0
3575,10,8.8,0,0,0
3576,10,8.4,0,0,0
3577,10,8.7,0,0,0
3578,10,9.2,0,0,0
3579,10,9.3,0,0,0
3580,11,9.3,1,0,0
3581,11,8.6,1,0,0
3582,11,8.9,1,0,0
3583,11,8.9,2,0,0
3584,11,9.5,2,0,0
3585,11,9.5,1,0,0
3586,11,9.4,1,0,0
3587,11,8.4,1,0,0
3588,10,9,0,0,0
3589,11,8.7,1,0,0
3590,11,9.1,1,0,0
3591,11,9,1,0,0
3592,11,8.7,1,0,0
3593,10,8.3,0,0,0
3594,10,8.7,0,0,0
3595,11,9.2,1,0,0
3596,10,8.8,0,0,0
3597,12,9.9,3,1,0
3598,10,8.5,0,0,0
3599,12,8.7,1,1,0
3600,11,9.2,1,0,0
3601,12,9.8,2,2,0
3602,11,9.5,2,0,0
3603,11,9,2,0,0
3604,10,8.6,0,0,0
3605,10,8.8,0,0,0
3606,13,8.9,1,1,1
3607,10,9.1,0,0,0
3608,11,9.5,2,0,0
3609,10,8.6,0,0,0
3610,11,9.5,3,0,0
3611,10,8.7,0,0,0
3612,10,8.9,0,0,0
3613,10,8.5,0,0,0
3614,10,8.8,0,0,0
3615,12,9.7,3,1,0
3616,12,9.5,2,1,0
3617,12,9.9,3,1,0
3618,11,9.3,1,0,0
3619,10,8.6,0,0,0
3620,12,9.5,3,1,0
3621,11,8.6,2,0,0
3622,10,8.3,0,0,0
3623,11,8.8,1,0,0
3624,10,8.8,0,0,0
3625,10,8.6,0,0,0
3626,11,9.6,1,0,0
3627,10,8.7,0,0,0
3628,11,9,1,0,0
3629,10,9.3,0,0,0
3630,11,10,3,0,0
