timestamp,modo,total_jogos,soma_media,soma_desvio,soma_min,soma_max,pares_media,impares_media,faixa_1_5,faixa_6_10,faixa_11_15,faixa_16_20,faixa_21_25,repeticao_media,repeticao_desvio,sequencia_media,sequencia_max,n_problemas
2026-03-11 16:55:17,BALANCEADO,2000,216.5,7.261,199,239,7.181,7.819,2.148,2.609,3.05,3.35,3.842,8.947,1.216,4.619,9,3
2026-03-11 19:38:54,BALANCEADO,2000,218.239,6.428,202,238,7.173,7.827,2.111,2.554,3.005,3.417,3.913,9.007,1.143,4.949,10,2
2026-03-11 19:43:18,BALANCEADO,2000,212.938,9.64,166,242,7.218,7.782,2.307,2.675,2.975,3.344,3.7,9.005,1.183,4.931,10,5
2026-03-11 19:56:40,BALANCEADO,2000,212.973,9.579,168,245,7.222,7.778,2.291,2.682,2.998,3.345,3.686,9.015,1.196,4.912,11,5
2026-03-11 19:59:50,BALANCEADO,2000,213.655,9.256,188,242,7.271,7.729,2.257,2.675,2.991,3.366,3.711,9.028,1.195,4.99,11,4
2026-03-11 20:04:06,BALANCEADO,1874,205.172,12.682,159,248,7.67,7.33,2.39,2.797,3.377,3.198,3.237,7.733,0.442,4.812,12,7
2026-03-11 20:12:23,BALANCEADO,2000,216.527,7.406,194,238,7.195,7.805,2.159,2.639,2.989,3.37,3.842,9.055,1.178,4.933,12,3
2026-03-11 20:19:16,BALANCEADO,2000,219.654,5.074,208,234,7.705,7.295,1.811,2.586,3.333,3.449,3.821,7.739,0.447,4.707,9,1
2026-03-11 20:23:41,BALANCEADO,2000,219.833,4.824,208,233,7.651,7.349,1.837,2.53,3.357,3.43,3.846,7.743,0.441,4.742,9,1
2026-03-11 20:27:20,BALANCEADO,2000,219.279,5.351,205,235,7.76,7.24,1.887,2.658,3.067,3.525,3.864,7.758,0.433,4.695,9,1
2026-03-11 20:32:24,BALANCEADO,2000,219.021,5.371,205,235,7.53,7.47,1.893,2.634,3.142,3.47,3.861,7.779,0.418,4.704,9,0
2026-03-11 20:45:37,BALANCEADO,2000,219.15,5.327,207,235,7.564,7.436,1.875,2.66,3.106,3.511,3.848,7.766,0.428,4.719,9,0
